start_date,end_date,vendor_code,vendor_name,invoice date,invoice#,customer,part_code,product_name,vintage,qty,sell_price,sold for,invoice_count,cases_sold,da_amount,da_total,date_active,expiration,da_hit,active
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-25,216654,Acc_093c20,82541.0,Prod_23113112,,12.0,8.49,8.23,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,true,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-25,216671,Acc_4a8e84,82541.0,Prod_23113112,,12.0,8.49,8.09,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,true,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-26,216685,Acc_5ddfa7,82541.0,Prod_23113112,,12.0,8.49,8.06,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,true,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-26,216706,Acc_b308cb,82541.0,Prod_23113112,,12.0,8.49,8.07,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,true,true
2025-06-01,2025-06-30,94,VNDR_ZNP5OO,2025-06-18,216467,Acc_8aa2c6,83616.0,Prod_38550157,,12.0,9.99,9.73,1.0,1.0,3.0,3.0,2025-05-30,2029-12-31,true,true
2025-06-01,2025-06-30,124,VNDR_86SLSZ,2025-06-17,216443,Acc_2e3f6f,86090.0,Prod_32995069,,12.0,22.99,23.62,1.0,1.0,6.0,6.0,2025-04-29,2029-12-31,false,true
2025-06-01,2025-06-30,341,VNDR_3X4SNI,2025-06-02,216102,Acc_dcab33,88518.0,Prod_55048581,,12.0,11.99,12.4,1.0,1.0,6.0,6.0,2024-08-15,2029-12-31,false,true
2025-06-01,2025-06-30,341,VNDR_3X4SNI,2025-06-04,216177,Acc_ec4890,88518.0,Prod_55048581,,12.0,11.99,12.09,1.0,1.0,6.0,6.0,2024-08-15,2029-12-31,false,true
2025-06-01,2025-06-30,341,VNDR_3X4SNI,2025-06-09,216247,Acc_0fe2b3,88518.0,Prod_55048581,,12.0,11.99,12.02,1.0,1.0,6.0,6.0,2024-08-15,2029-12-31,false,true
2025-06-01,2025-06-30,341,VNDR_3X4SNI,2025-06-09,216272,Acc_ebd2c1,88518.0,Prod_55048581,,12.0,11.99,11.52,1.0,1.0,6.0,6.0,2024-08-15,2029-12-31,true,true
2025-06-01,2025-06-30,341,VNDR_3X4SNI,2025-06-10,216293,Acc_0331fe,88518.0,Prod_55048581,,12.0,11.99,11.23,1.0,1.0,6.0,6.0,2024-08-15,2029-12-31,true,true
2025-06-01,2025-06-30,341,VNDR_3X4SNI,2025-06-11,216318,Acc_8a2103,88518.0,Prod_55048581,,12.0,11.99,11.46,1.0,1.0,6.0,6.0,2024-08-15,2029-12-31,true,true
2025-06-01,2025-06-30,341,VNDR_3X4SNI,2025-06-16,216419,Acc_77ebfe,88518.0,Prod_55048581,,12.0,11.99,11.57,1.0,1.0,6.0,6.0,2024-08-15,2029-12-31,true,true
2025-06-01,2025-06-30,341,VNDR_3X4SNI,2025-06-19,216521,Acc_ce487e,88518.0,Prod_55048581,,12.0,11.99,12.37,1.0,1.0,6.0,6.0,2024-08-15,2029-12-31,false,true
2025-06-01,2025-06-30,341,VNDR_3X4SNI,2025-06-24,216584,Acc_f10f42,88518.0,Prod_55048581,,12.0,11.99,12.97,1.0,1.0,6.0,6.0,2024-08-15,2029-12-31,false,true
2025-06-01,2025-06-30,341,VNDR_3X4SNI,2025-06-26,216623,Acc_dcab33,88518.0,Prod_55048581,,12.0,11.99,11.86,1.0,1.0,6.0,6.0,2024-08-15,2029-12-31,true,true
2025-06-01,2025-06-30,306,VNDR_41N4OZ,2025-06-12,216383,Acc_46565f,91010.0,Prod_35110895,,12.0,9999.0,17.5,1.0,1.0,12.0,12.0,2024-09-01,2029-12-31,true,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-03,216100,Acc_5a13b9,91835.0,Prod_63778501,,1.0,44.014084507042256,49.96,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-02,216116,Acc_995252,91835.0,Prod_63778501,,1.0,44.014084507042256,48.37,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-02,216121,Acc_081da6,91835.0,Prod_63778501,,1.0,44.014084507042256,42.03,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,true,true
