part_code	product_name	description	category_name	sub_category_name	location	total_onhand	cost	weighted_cost	price	vendor_code	vendor_name	date_last_sold	discontinued	date_created
65633	Prod_62141959		Spirits	Spirits 1.0	D2.4	0.0	13.57	14.0	24.3	83.0	VNDR_L4URDB	05/22/13	True	10/16/12
90702	Prod_91068665		Oregon & Wash.	Oregon & Wash. 750 small	E2.2	0.0	55.37	57.0	82.49	241.0	VNDR_Z5P9OE	08/09/16	True	10/16/12
61913	Prod_25014510		Italian Whites	Italian White 750 small	B7.1	0.0	7.58	6.9812	15.53	244.0	VNDR_I7BXLC	10/11/13	True	10/17/12
35991	Prod_71333886		Italian Whites	Italian White 750 small	B7.1	0.0	5.18	4.445	11.77	244.0	VNDR_I7BXLC	06/03/13	True	10/17/12
64845	Prod_46703153		Port	Port 750 Old small		0.0	140.62	151.0	220.01	36.0	VNDR_YAAG04	10/30/12	True	10/19/12
65312	Prod_82057332		Portugal Table	Portugal Table 750 small	D2.1	0.0	3.39	3.3333	7.68	326.0	VNDR_UB1PI4	01/17/18	True	10/19/12
20561	Prod_59026943		California Red	California Red 750 small	C7.2	0.0	14.25	14.0	23.81	6.0	VNDR_RU4ARK	05/13/13	True	10/19/12
26901	Prod_38702193		California Whites	California Whites 750 small	_Costco - KS Chardonnay	0.0	4.86	5.057	6.63	123.0	VNDR_VE4YSO	11/14/18	True	10/24/12
72875	Prod_36143036		Spirits	Spirits 1.75	_Costco - KS Spiced Rum	0.0	7.64	7.6412	11.47	312.0	VNDR_3X9MK8	05/06/24	True	10/24/12
35917	Prod_78275171	12/750	Spirits	Scotch 750		0.0	41.34	43.2475	46.38	167.0	VNDR_NKO51N	03/13/25	False	10/24/12
72120	Prod_46573487		French Whites	French White 375 small		0.0	13.57	13.5	19.41	147.0	VNDR_WWCRT8	11/08/12	True	10/26/12
11988	Prod_23631946		French Whites	French White 375 small		0.0	10.1	10.25	16.47	132.0	VNDR_FHSZ8T	11/08/12	True	10/26/12
24256	Prod_33903435		French Whites	French White 375 small		0.0	19.69	20.5	29.23	147.0	VNDR_WWCRT8	11/08/12	True	10/26/12
97728	Prod_68159346		Spirits	Scotch 750		0.0	111.57	115.0	165.88	63.0	VNDR_19GU6R	11/13/12	True	10/30/12
38230	Prod_80246584		French Reds	French Red Small 3.0L	A4.3	0.0	120.83	121.0	187.8	132.0	VNDR_FHSZ8T	05/11/16	True	11/01/12
69778	Prod_21587379		New Zealand	New Zealand 750 small	B8.2	0.0	9.52	9.333	16.46	17.0	VNDR_3U1O01	06/25/14	True	11/04/12
55833	Prod_59119230		Oregon & Wash.	Oregon & Wash. 750 small		0.0	30.67	32.5	43.61	194.0	VNDR_T1J5HT	12/03/12	True	11/06/12
32625	Prod_61887214	6/750	French Reds	French Red 750 small	F4.3	60.0	30.38	33.342	34.6	167.0	VNDR_NKO51N	05/19/22	False	11/08/12
42088	Prod_37310719		Beer Domestic	Beer Dom. 24 x 12oz.		0.0	18.26	19.1	40.19	83.0	VNDR_L4URDB	00/00/00	True	11/12/12
89650	Prod_79950045		Beer Domestic	Beer Dom. 24 x 12oz.	H1.2	0.0	18.57	18.4	38.93	83.0	VNDR_L4URDB	12/11/14	True	11/13/12
51167	Prod_84038416		Beer Domestic	Beer Dom. 12 x 22oz		0.0	52.9	56.4	87.84	83.0	VNDR_L4URDB	00/00/00	True	11/13/12
81291	Prod_84641309		Beer Domestic	Beer Dom. 24 x 12oz.		0.0	56.32	54.0	91.39	83.0	VNDR_L4URDB	00/00/00	True	11/13/12
75303	Prod_74807648		Beer Domestic	Beer Dom. 24 x 12oz.	A9	0.0	18.3	19.3	39.71	83.0	VNDR_L4URDB	11/07/16	True	11/13/12
86361	Prod_20947972		Beer Domestic	Beer Dom. 24 x 12oz.	A9	0.0	19.1	19.3	40.42	83.0	VNDR_L4URDB	05/24/17	True	11/13/12
98229	Prod_82125855		Beer Domestic	Beer Dom. 24 x 12oz.	A9	0.0	18.79	18.55	39.52	83.0	VNDR_L4URDB	03/06/17	True	11/13/12
14117	Prod_34368173	6	French Reds	French Red 750 small	AA6.2	24.0	27.8	27.6683	41.98	167.0	VNDR_NKO51N	05/31/23	False	11/13/12
70710	Prod_75447056		Beer Imported	Beer Imp. 24 x 11.2 oz.	H1.3	0.0	70.29	64.95	105.5	83.0	VNDR_L4URDB	05/14/13	True	11/13/12
77054	Prod_45933292		Beer Imported	beer imported 6 x 750ml		0.0	29.4	29.95	53.94	133.0	VNDR_MAZ7BT	00/00/00	True	11/13/12
40949	Prod_85923246		Beer Imported	Beer Imp. 12 x 25.4 oz.	G2.2	0.0	72.25	65.95	114.36	83.0	VNDR_L4URDB	01/01/15	True	11/13/12
32547	Prod_91962691		Beer Domestic	Beer Dom. 24 x 12oz.		0.0	16.81	17.0	32.28	192.0	VNDR_JVC8SU	00/00/00	True	11/14/12
91882	Prod_48717883		Beer Domestic	Beer Dom. 24 x 12oz.	F5 End Cap	0.0	18.79	18.1	39.99	83.0	VNDR_L4URDB	03/04/14	True	11/15/12
78136	Prod_58211013	6	French Reds	French Red 750 small	AA4.2	5.0	39.05	39.6667	57.47	167.0	VNDR_NKO51N	07/30/25	False	11/15/12
74619	Prod_63401908	6	French Whites	French White 750 small	AA2.2	6.0	86.78	88.5	122.13	167.0	VNDR_NKO51N	04/16/25	False	11/15/12
