ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-07-16,170041.2926717699,137845.47521703297,226585.08970220762,170041.2926717699,170041.2926717699,9556.045684878225,9556.045684878225,9556.045684878225,9556.045684878225,9556.045684878225,9556.045684878225,0.0,0.0,0.0,179597.3383566481
2023-07-23,169954.81017565794,130048.27755743991,215314.8568998249,169954.81017565794,169954.81017565794,3765.540563423254,3765.540563423254,3765.540563423254,3765.540563423254,3765.540563423254,3765.540563423254,0.0,0.0,0.0,173720.3507390812
2023-07-30,169868.327679546,114873.03325580072,203190.01388903812,169868.327679546,169868.327679546,-9773.636691066202,-9773.636691066202,-9773.636691066202,-9773.636691066202,-9773.636691066202,-9773.636691066202,0.0,0.0,0.0,160094.6909884798
2023-08-06,169781.84518343405,107194.52567591854,196124.00120248608,169781.84518343405,169781.84518343405,-18530.459083043606,-18530.459083043606,-18530.459083043606,-18530.459083043606,-18530.459083043606,-18530.459083043606,0.0,0.0,0.0,151251.38610039046
2023-08-13,169695.3616633023,108897.25199279113,199604.67456653545,169695.3616633023,169695.3616633023,-13442.457486133202,-13442.457486133202,-13442.457486133202,-13442.457486133202,-13442.457486133202,-13442.457486133202,0.0,0.0,0.0,156252.90417716908
2023-08-20,169608.8781431705,123362.628072204,215535.60353896013,169608.8781431705,169608.8781431705,2456.9440134705815,2456.9440134705815,2456.9440134705815,2456.9440134705815,2456.9440134705815,2456.9440134705815,0.0,0.0,0.0,172065.82215664108
2023-08-27,169522.39462303874,142611.98268187954,231729.1419306613,169522.39462303874,169522.39462303874,17515.534308054765,17515.534308054765,17515.534308054765,17515.534308054765,17515.534308054765,17515.534308054765,0.0,0.0,0.0,187037.9289310935
2023-09-03,169435.91110290695,149343.3750332075,239445.73964997398,169435.91110290695,169435.91110290695,23260.917086515783,23260.917086515783,23260.917086515783,23260.917086515783,23260.917086515783,23260.917086515783,0.0,0.0,0.0,192696.82818942273
2023-09-10,169349.42758277518,147649.40294046284,233790.6284259218,169349.42758277518,169349.42758277518,21521.013929393903,21521.013929393903,21521.013929393903,21521.013929393903,21521.013929393903,21521.013929393903,0.0,0.0,0.0,190870.44151216908
2023-09-17,169262.9440626434,147427.86653159017,234112.65035670373,169262.9440626434,169262.9440626434,19641.58710243989,19641.58710243989,19641.58710243989,19641.58710243989,19641.58710243989,19641.58710243989,0.0,0.0,0.0,188904.5311650833
2023-09-24,169176.46008603714,148270.46740283867,236631.84354463822,169176.46008603714,169176.46008603714,20618.89652911142,20618.89652911142,20618.89652911142,20618.89652911142,20618.89652911142,20618.89652911142,0.0,0.0,0.0,189795.35661514857
2023-10-01,169089.9761094309,145315.76005556135,231843.16361485346,169089.9761094309,169089.9761094309,20396.931945760592,20396.931945760592,20396.931945760592,20396.931945760592,20396.931945760592,20396.931945760592,0.0,0.0,0.0,189486.90805519148
2023-10-08,169003.49213282464,138437.89205063126,228495.62433090268,169003.49213282464,169003.49213282464,14980.011881846434,14980.011881846434,14980.011881846434,14980.011881846434,14980.011881846434,14980.011881846434,0.0,0.0,0.0,183983.50401467108
2023-10-15,168917.0081562184,132109.84847982632,217121.51539522715,168917.0081562184,168917.0081562184,7493.089170017942,7493.089170017942,7493.089170017942,7493.089170017942,7493.089170017942,7493.089170017942,0.0,0.0,0.0,176410.09732623634
2023-10-22,168830.5241796121,135595.87705351942,219466.20809138307,168830.5241796121,168830.5241796121,5569.609774934586,5569.609774934586,5569.609774934586,5569.609774934586,5569.609774934586,5569.609774934586,0.0,0.0,0.0,174400.1339545467
2023-10-29,168744.04020300583,136917.43346348262,224629.93213732453,168744.04020300583,168744.04020300583,12085.26066446793,12085.26066446793,12085.26066446793,12085.26066446793,12085.26066446793,12085.26066446793,0.0,0.0,0.0,180829.30086747376
2023-11-05,168657.55617990808,145635.65042309067,231448.6648035169,168657.55617990808,168657.55617990808,21191.899273485757,21191.899273485757,21191.899273485757,21191.899273485757,21191.899273485757,21191.899273485757,0.0,0.0,0.0,189849.45545339384
2023-11-12,168571.07215681038,149102.51436013408,236184.35890768783,168571.07215681038,168571.07215681038,25240.789339993153,25240.789339993153,25240.789339993153,25240.789339993153,25240.789339993153,25240.789339993153,0.0,0.0,0.0,193811.86149680353
2023-11-19,168484.58813371262,152283.01747993985,236059.23177280254,168484.58813371262,168484.58813371262,24255.917428632463,24255.917428632463,24255.917428632463,24255.917428632463,24255.917428632463,24255.917428632463,0.0,0.0,0.0,192740.5055623451
2023-11-26,168398.10411061486,151076.52884212576,240042.4196865919,168398.10411061486,168398.10411061486,25780.845517478534,25780.845517478534,25780.845517478534,25780.845517478534,25780.845517478534,25780.845517478534,0.0,0.0,0.0,194178.9496280934
2023-12-03,168311.6200875171,161042.1566486783,245729.77116857088,168311.6200875171,168311.6200875171,34541.44247687615,34541.44247687615,34541.44247687615,34541.44247687615,34541.44247687615,34541.44247687615,0.0,0.0,0.0,202853.06256439327
2023-12-10,168225.1360644194,165807.79023177206,255334.96943570077,168225.1360644194,168225.1360644194,44365.10282563568,44365.10282563568,44365.10282563568,44365.10282563568,44365.10282563568,44365.10282563568,0.0,0.0,0.0,212590.2388900551
2023-12-17,168138.61306664604,165473.98415420737,254716.24411964318,168138.61306664604,168138.61306664604,42866.85261141785,42866.85261141785,42866.85261141785,42866.85261141785,42866.85261141785,42866.85261141785,0.0,0.0,0.0,211005.4656780639
2023-12-24,168052.09006887267,148158.31075371816,236417.6138855171,168052.09006887267,168052.09006887267,24386.334627203185,24386.334627203185,24386.334627203185,24386.334627203185,24386.334627203185,24386.334627203185,0.0,0.0,0.0,192438.42469607585
2023-12-31,167965.56707109924,121977.70457013069,205078.11301288448,167965.56707109924,167965.56707109924,-3403.6040908966806,-3403.6040908966806,-3403.6040908966806,-3403.6040908966806,-3403.6040908966806,-3403.6040908966806,0.0,0.0,0.0,164561.96298020257
2024-01-07,167879.04407332587,97690.27929085544,186618.11832700024,167879.04407332587,167879.04407332587,-26661.54715539797,-26661.54715539797,-26661.54715539797,-26661.54715539797,-26661.54715539797,-26661.54715539797,0.0,0.0,0.0,141217.4969179279
2024-01-14,167792.5210755525,84516.8197404867,171943.64271179072,167792.5210755525,167792.5210755525,-37995.96625489129,-37995.96625489129,-37995.96625489129,-37995.96625489129,-37995.96625489129,-37995.96625489129,0.0,0.0,0.0,129796.55482066121
2024-01-21,167705.99807777914,81645.79151374086,170482.76773774016,167705.99807777914,167705.99807777914,-40640.72895149589,-40640.72895149589,-40640.72895149589,-40640.72895149589,-40640.72895149589,-40640.72895149589,0.0,0.0,0.0,127065.26912628324
2024-01-28,167619.47493625418,87694.93054465421,173966.46526423798,167619.47493625418,167619.47493625418,-41044.846935287176,-41044.846935287176,-41044.846935287176,-41044.846935287176,-41044.846935287176,-41044.846935287176,0.0,0.0,0.0,126574.628000967
2024-02-04,167532.9517947292,82273.42081298772,168730.54470524663,167532.9517947292,167532.9517947292,-40247.37022106113,-40247.37022106113,-40247.37022106113,-40247.37022106113,-40247.37022106113,-40247.37022106113,0.0,0.0,0.0,127285.58157366805
2024-02-11,167446.4286532042,88018.58307524033,180362.24389833232,167446.4286532042,167446.4286532042,-34485.94675149361,-34485.94675149361,-34485.94675149361,-34485.94675149361,-34485.94675149361,-34485.94675149361,0.0,0.0,0.0,132960.4819017106
2024-02-18,167359.9055116792,95213.85801461973,186673.71417939063,167359.9055116792,167359.9055116792,-22991.837503173432,-22991.837503173432,-22991.837503173432,-22991.837503173432,-22991.837503173432,-22991.837503173432,0.0,0.0,0.0,144368.06800850574
2024-02-25,167273.3823701542,111710.29559042571,199553.43858323674,167273.3823701542,167273.3823701542,-11914.587443766177,-11914.587443766177,-11914.587443766177,-11914.587443766177,-11914.587443766177,-11914.587443766177,0.0,0.0,0.0,155358.79492638801
